Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
U.S. Citizen,Duke University,Biomedical Engineering and Chemistry,3.91,2018,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Male,Asian
U.S. Citizen,Duke University,Mechanical Engineering,3.85,2019,Ph.D. with Masters,Robotics Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,Duke University,Mechanical Engineering,3.66,2019,Ph.D. with Masters,Energy Engineering,Architectural Engineering,Female,White 
U.S. Citizen,Duke University,Mechanical Engineering,2.76,2019,Masters,Aerospace Engineering,Mechanical Engineering,Male,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.44,2019,Masters,Environmental Engineering,Energy Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering & Electrical / Computer Engineering,2.19,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,"Hispanic,White "
U.S. Citizen,Duke University,Biomedical Engineering,2.93,2018,Masters,Biomedical Engineering,Tissue Engineering,Female,"Black/African American,White"
U.S. Citizen,Duke University,Biomedical Engineering,3.64,2019,Ph.D. with Masters,Biomedical Engineering,Computer Science/Engineering,Male,White 
U.S. Citizen,Duke University,"Electrical and Computer Engineering, Computer Science",3.65,2019,Masters,Ocean Engineering,Electrical Engineering,Male,White 
U.S. Citizen,Duke University,Biomedical Engineering,2.73,2018,Masters,Biomedical Engineering,Bioengineering,Female,White 
International,Duke University,Mechanical Engineering,3.66,2019,Masters,Energy Engineering,Mechanical Engineering,Male,Black/African American
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.92,2018,Ph.D. with Masters,Electrical Engineering,Nanoscience Engineering,Male,White 
International,Duke University,"Computer Science, Mechanical Engineering",3.5,2018,Masters,Financial Engineering,Operations Engineering,"Male,Female",White 
U.S. Citizen,Duke University,Biomedical Engineering/Electrical and Computer Engineering,3.75,2019,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Male,Hispanic
U.S. Citizen,Duke University,Electrical and Computer Engineering/Computer Science,3.96,2019,Masters,Electrical Engineering,Computer Science/Engineering,Male,White 
U.S. Citizen,Duke University,"Electrical and Computer Engineering, Biomedical Engineering",3.88,2019,Masters,Undecided,Electrical Engineering,"Male,Prefer Not to Answer",White 
U.S. Citizen,Duke University,"Electrical and Computer Engineering, Computer Science",3.94,2019,Ph.D. with Masters,Computer Science/Engineering,Electrical Engineering,"Male,Female",White 
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.33,2017,Masters,Computer Science/Engineering,Computer Engineering,Male,"Asian, White "
U.S. Citizen,Duke University,Mechanical Engineering and Materials Science,3.3,2018,Masters,Energy Engineering,Electrical Engineering,Female,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.35,2019,Masters,Computer Science/Engineering,Computer Information Systems,Male,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.56,2018,Masters,Biomedical Engineering,Engineering Management,Female,White 
U.S. Citizen,Duke University,Mechanical Engineering and Materials Science; Computer Science,3.48,2018,Ph.D. only (have Masters),Computer Science/Engineering,Computer Engineering,Male,"Black/African American,White"
U.S. Citizen,Duke University,Mechanical Engineering and Materials Science,3,2018,Ph.D. with Masters,Mechanical Engineering,Materials Science/Polymers Engineering,Female,Hispanic
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.82,2019,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Male,Asian
International,Duke University,Biomedical Engineering,3.04,2019,Masters,Biomedical Engineering,Bioengineering,Female,White 
International,Duke University,Mechanical Engineering,3.85,2018,Masters,Energy Engineering,Mechanical Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering/Electrical & Computer Engineering,3.31,2018,Masters,Computer Science/Engineering,Electrical Engineering,Male,White 
U.S. Citizen,Duke University,Environmental Engineering,2.92,2019,Ph.D. with Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,Black/African American
U.S. Citizen,Duke University,Biomedical Engineering/Electrical and Computer Engineering,3.97,2019,Masters,Biomedical Engineering,Electrical Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.52,2019,Masters,Biomedical Engineering,Tissue Engineering,Male,Asian
U.S. Citizen,Duke University,BME ECE double major,3.52,2018,Masters,Biomedical Engineering,Electrical Engineering,Male,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.85,2018,Masters,Financial Engineering,Biomedical Engineering,Male,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.14,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Mechanical Engineering,Female,Asian
U.S. Citizen,Duke University,Electrical & Computer Engineering,3.1,2019,Masters,Energy Engineering,Electrical Engineering,Male,Black/African American
U.S. Citizen,Duke University,Biomedical Engineering/Electrical and Computer Engineering,3.29,2019,Masters,Electrical Engineering,Biomedical Engineering,"Male,Female",White 
U.S. Citizen,Duke University,Biomedical Engineering,3.23,2019,Masters,Biomedical Engineering,Bioengineering,Male,White 
U.S. Citizen,Duke University,Mechanical Engineering,3.39,2019,Ph.D. with Masters,Financial Engineering,Energy Engineering,Male,White 
U.S. Citizen,Duke University,Civil Engineering,3.02,2018,Masters,Environmental Engineering,Energy Engineering,Male,"Black/African American,White"
International,Duke University,Environmental Engineering / Energy Engineering,3.8,2019,Masters,Energy Engineering,Environmental Engineering,Male,"Asian, White "
U.S. Citizen,Duke University,Mechanical Engineering and Materials Science,3.87,2018,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering (ECE) and Computer Science (CS),3.5,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
International,Duke University,Civil Engineering,3.32,2018,Masters,Energy Engineering,Civil Engineering,Male,Black/African American
U.S. Citizen,Duke University,Electrical and Computer Engineering ,3.54,2018,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.05,2018,Masters,Biomedical Engineering,Computer Science/Engineering,Male,Asian
International,Duke University,Biomedical Engineering,3.65,2018,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering ,2.97,2018,Masters,Biomedical Engineering,Financial Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.9,2019,Ph.D. with Masters,Biomedical Engineering,Mechanical Engineering,Prefer not to answer,Asian
U.S. Citizen,Duke University,Biomedical engineering,3.45,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,"Asian, White "
U.S. Citizen,Duke University,Mechanical Engineering,3.89,2018,Masters,Mechanical Engineering,Energy Engineering,Male,"Asian, White "
Permanent Resident,Duke University,Mechanical Engineering,3.54,2018,Masters,Aerospace Engineering,Mechanical Engineering,Female,Asian
U.S. Citizen,Duke University,Mechanical Engineering,3.1,2019,Masters,Mechanical Engineering,Automotive Engineering,Male,Asian
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.4,2018,Masters,Biomedical Engineering,Robotics Engineering,Male,White 
U.S. Citizen,Duke University,Mechanical Engineering,3.5,2019,Ph.D. with Masters,Mechanical Engineering,Robotics Engineering,Female,Asian
U.S. Citizen,Duke University,"Electrical/Computer Engineering, Computer Science",2.8,2018,Masters,Computer Engineering,Electrical Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.46,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,Asian
U.S. Citizen,Duke University,"Electrical and Computer Engineering, Computer Science",3.83,2018,Ph.D. with Masters,Computer Science/Engineering,Human Computer-Interaction/Factors Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.49,2019,Masters,Tissue Engineering,Biomedical Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical engineering,3.13,2019,Masters,Biomedical Engineering,Bioengineering,Male,White 
U.S. Citizen,Duke University,"Electrical and Computer Engineering, Computer Science",3.95,2019,Ph.D. with Masters,Computer Science/Engineering,Electrical Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.94,2018,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,Asian
U.S. Citizen,Duke University,Civil Engineering,4,2019,Masters,Structural Engineering,Civil Engineering,Female,White 
U.S. Citizen,Duke University,Mechanical Engineering,3.75,2018,Masters,Mechanical Engineering,Systems/Signals Engineering,Male,White 
U.S. Citizen,Duke University,ECE/CompSci,3.65,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White 
U.S. Citizen,Duke University,Environmental Engineering,3.4,2019,Ph.D. with Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,Asian
U.S. Citizen,Duke University,Electrical & Computer Engineering + Computer Science,3.6,2019,Ph.D. with Masters,Robotics Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Duke University,Civil and Environmental Engineering,3.9,2019,Masters,Environmental Engineering,Energy Engineering,Male,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering; Computer Science,3.91,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White 
U.S. Citizen,Duke University,Biomedical Engineering,3,2019,Masters,Biomedical Engineering,Bioengineering,Female,White 
U.S. Citizen,Duke University,Environmental Engineering,3.54,2019,Masters,Coastal/Water Systems Engineering,Environmental Engineering,Female,White 
U.S. Citizen,Duke University,BME/Neuroscience,2.77,2019,Masters,Neural Engineering,Biomedical Engineering,Female,White 
U.S. Citizen,Duke University,BME,3.8,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Male,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering,3.95,2019,Ph.D. with Masters,Electrical Engineering,Systems/Signals Engineering,"Female,LGBTQ",Asian
U.S. Citizen,Duke University,"Mechanical Engineering, Electrical and Computer Engineering",3.91,2019,Ph.D. with Masters,Electrical Engineering,Energy Engineering,"Male,Female",Asian
U.S. Citizen,Duke University,Mechanical Engineering,3,2019,Masters,Mechanical Engineering,Environmental Engineering,Male,White 
U.S. Citizen,Duke University,Biomedical and Electrical/Computer Engineering,3.71,2018,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.38,2018,Masters,Electrical Engineering,Computer Science/Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.9,2018,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,2.84,2019,Masters,Biomedical Engineering,Biomedical Engineering,Male,"Asian, Hispanic"
U.S. Citizen,Duke University,Mechanical Engineering,3.91,2018,Masters,Mechanical Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,Duke University,Mechanical Engineering,3.81,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.34,2018,Ph.D. with Masters,Biological Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Duke University,Civil Engineering Water Resources Track,3.98,2019,Masters,Civil Engineering,Environmental Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.48,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.8,2018,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Male,Asian
U.S. Citizen,Duke University,Mechanical Engineering,3.7,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,White 
International,Duke University,Biomedical Engineering & Neuroscience,3.94,2018,Ph.D. with Masters,Biomedical Engineering,Neural Engineering,Female,Asian
Permanent Resident,Duke University,Biomedical Engineering,3.63,2017,Masters,Biomedical Engineering,Bioengineering,Male,Hispanic
U.S. Citizen,Duke University,Biomedical Engineering,2.89,2018,Ph.D. with Masters,Tissue Engineering,Biomedical Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,3.94,2019,Ph.D. with Masters,Tissue Engineering,Biomedical Engineering,Male,Asian
U.S. Citizen,Duke University,BME,3,2018,Masters,Engineering Management,Biomedical Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.8,2019,Ph.D. with Masters,Biomedical Engineering,Biological Engineering,"Male,Prefer Not to Answer",White 
U.S. Citizen,Duke University,Civil Engineering - Environmental Engineering/Water Resources,3.44,2019,Masters,Environmental Engineering,Civil Engineering,Female,White 
U.S. Citizen,Duke University,Biomedical Engineering,2.96,2019,Ph.D. with Masters,Biomedical Engineering,Aerospace Engineering,Male,"Black/African American,White"
U.S. Citizen,Duke University,Mechanical Engineering,3.97,2019,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White 
U.S. Citizen,Duke University,"Biomedical engineering, chemistry minor",2.8,2019,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Female,White 
U.S. Citizen,Duke University,Electrical and Computer Engineering,2.5,2019,Masters,Electrical Engineering,Computer Science/Engineering,Male,"Black/African American,White"
U.S. Citizen,Duke University,Biomedical Engineering,3.37,2018,Masters,Biomedical Engineering,Electrical Engineering,Male,White 
U.S. Citizen,Duke University,BME/ECE,3.51,2019,Ph.D. with Masters,Neural Engineering,Robotics Engineering,Male,Asian
International,Duke University,Biomedical Engineering,4,2019,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Female,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.46,2018,Ph.D. with Masters,Biomedical Engineering,Structural Engineering,Male,Asian
U.S. Citizen,Duke University,Biomedical Engineering,3.91,2019,Masters,Biomedical Engineering,Bioengineering,Male,White 
U.S. Citizen,Duke University,Biomedical Engineering,3,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,Asian
International,Duke University ,Biomedical Engineering,3.5,2018,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,Male,Hispanic
U.S. Citizen,Duke University ,Biomedical Engineering/Electrical and Computer Engineering,3.61,2018,Ph.D. with Masters,Biomedical Engineering,Electrical Engineering,"Male,Female",White 
U.S. Citizen,Duke University ,ECE/CS,3.76,2019,Masters,Human Computer-Interaction/Factors Engineering,Computer Science/Engineering,Female,Asian
U.S. Citizen,Duke University ,Mechanical Engineering ,3.31,2019,Masters,Chemical Engineering,Nuclear Engineering,Female,Black/African American
U.S. Citizen,Duke University ,"Biomedical Engineering, Computer Science Minor",2.98,2019,Masters,Biomedical Engineering,,Male,Asian
International,Duke University ,Biomedical Engineering ,3.1,2018,Ph.D. only (have Masters),Biomedical Engineering,Neural Engineering,Female,White 
U.S. Citizen,Duke University ,Mechanical Engineering & Mathematics,3.76,2018,Masters,Financial Engineering,Mechanical Engineering,"Male,Female",White 
U.S. Citizen,Duke University ,Biomedical Engineering ,3.98,2019,Masters,Biomedical Engineering,Systems/Signals Engineering,Female,Asian
U.S. Citizen,Duke University ,Biomedical Engineering ,3.1,2019,Masters,Biomedical Engineering,Human Computer-Interaction/Factors Engineering,Male,Asian
International,Duke university ,Electrical and Computer Engineering,3.6,2019,Masters,Electrical Engineering,,Male,Asian
International,George Mason University,Systems Engineering,3.36,2017,Masters,Systems/Signals Engineering,Bioengineering,Female,White
International,George Mason University,Computer Science,3.1,2018,Ph.D. with Masters,Computer Science/Engineering,Human Computer-Interaction/Factors Engineering,Male,Asian
U.S. Citizen,George Mason University,Cyber Security Engineering,3.49,2019,Ph.D. with Masters,Cyber security engineering,Information security,Male,White
U.S. Citizen,George Mason University,Electrical Engineering,3.2,2019,Masters,Systems/Signals Engineering,Environmental Engineering,Female,Hispanic
U.S. Citizen,George Mason University,"Applied Information Technology, Information Technology",3.11,2017,Ph.D. with Masters,"Environmental Engineering, Information Technology",Science,Male,Black/African American
International,George Mason University,Systems Engineering,3.15,2017,Masters,Transportation Engineering,Industrial/Systems Engineering,Male,White
International,George Mason University,Bioengineering,3.3,2018,Masters,Systems/Signals Engineering,Tissue Engineering,Male,Asian
Permanent Resident,George Mason University,Bioengineering,3.66,2019,Masters,Civil Engineering,Bioengineering,Female,Black/African American
International,George Mason University,Systems Engineering,3.51,2017,Masters,Systems/Signals Engineering,Industrial/Systems Engineering,Female,White
U.S. Citizen,George Mason University,Computer Science,3.95,2019,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,George Mason University,Mechanical Engineering,3.26,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,George Mason University,Systems Engineering,3.77,2019,Masters,Systems/Signals Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,George Mason University,Computer Science,3.92,2018,Masters,Computer Science/Engineering,Software Engineering,Female,White
U.S. Citizen,George Mason University,Computer Science,3.6,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,George Mason University,Computer Science,3.4,2018,Masters,Mechanical Engineering,Computer Engineering,Female,Black/African American
U.S. Citizen,George Mason University,Applied Information Technology,3.3,2018,Masters,Computer Information Systems,Computer Information Systems,Male,Black/African American
U.S. Citizen,George Mason University,Bioengineering,3,2019,Ph.D. with Masters,Biological Engineering,Bioengineering,Male,White
U.S. Citizen,George Mason University,Electrical Engineering,3.26,2019,Ph.D. with Masters,Systems/Signals Engineering,Electrical Engineering,Male,White
U.S. Citizen,George Mason University,Civil and Infrastructure Engineering,3.85,2019,Masters,Civil Engineering,Structural Engineering,Male,White
U.S. Citizen,George Mason University,Applied Information Technology,3.5,2018,Masters,Computer Information Systems,Computer Engineering,Male,Black/African American
U.S. Citizen,George Mason University,Electrical Engineering,3.76,2019,Ph.D. with Masters,Robotics Engineering,Automotive Engineering,Male,White
Permanent Resident,George Mason University,Computer Engineering,3.81,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,Black/African American
U.S. Citizen,George Mason University,Electrical Engineering,2.96,2018,Masters,Computer Information Systems,Computer Engineering,Female,Black/African American
U.S. Citizen,George Mason University,Computer Science,3.1,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,George Mason University,Civil and Infrastructure Engineering,3.37,2017,Masters,Structural Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,George Mason University,Electrical Engineering,3.4,2017,Masters,Computer Engineering,Computer Science/Engineering,Male,White
International,George Mason University,Applied Information Technology,3.2,2017,Masters,Computer Information Systems,Financial Engineering,Male,White
U.S. Citizen,George Mason University,Electrical Engineering,3,2017,Ph.D. with Masters,Systems/Signals Engineering,Electrical Engineering,Male,White
U.S. Citizen,George Mason University,Mechanical Engineering,3.38,2019,Masters,Mechanical Engineering,Applied Physics,Prefer not to answer,Black/African American
U.S. Citizen,George Mason University,Computer Engineering,3.81,2018,Masters,Computer Engineering,Electrical Engineering,Male,White
U.S. Citizen,George Mason University,Applied Information Technology,3.52,2019,Masters,Computer Science/Engineering,Aerospace Engineering,Female,White
U.S. Citizen,George Mason University,"Electrical Engineering, minor in Computer Science",3.56,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
International,George Mason University,Computer Science,3.1,2016,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,George Mason University,Computer Engineering,4,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,George Mason University,Bioengineering,3.21,2017,Ph.D. only (have Masters),Bioengineering,Mechanical Engineering,Male,White
U.S. Citizen,George Mason University,Computer Science,4,2019,Masters,Computer Science/Engineering,Computer Engineering,Female,White
U.S. Citizen,George Mason University,Bioengineering,3.06,2017,Masters,Electrical Engineering,Biomedical Engineering,Male,White
U.S. Citizen,George Mason University,Cyber Security Engineering,4,2019,Ph.D. with Masters,Cyber Security,Computer Information Systems,Female,Black/African American
Permanent Resident,George Mason University,Bioengineering,3.2,2018,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,Asian
U.S. Citizen,George Mason University,Information Technology,3.23,2019,Masters,Computer Information Systems,Aerospace Engineering,Male,Asian
U.S. Citizen,George Mason University,Information Technology,3,2019,Ph.D. with Masters,Computer Engineering,Computer Information Systems,Female,Asian
Permanent Resident,George Mason University,Civil and Infrastructure Engineering,3.89,2018,Masters,Coastal/Water Systems Engineering,Agricultural Engineering,Female,Asian
U.S. Citizen,George Mason University,Bioengineering,3.64,2017,Masters,Biomedical Engineering,Electrical Engineering,Female,Asian
U.S. Citizen,George Mason University,Information Technology,3.7,2018,Masters,cyber security,management,Male,White
U.S. Citizen,George Mason University,Civil and Infrastructure Engineering,3.16,2018,Masters,Civil Engineering,Transportation Engineering,Male,Asian
U.S. Citizen,George Mason University,Computer Science,3.76,2019,Masters,Computer Science/Engineering,Computer Engineering,Female,"Asian, White"
Permanent Resident,George Mason University,Computer Science,3.64,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,Hispanic
U.S. Citizen,George Mason University,Mechanical Engineering,3.05,2018,Masters,Mechanical Engineering,Aerospace Engineering,Female,Hispanic
Permanent Resident,George Mason University,Civil and Infrastructure Engineering,3.76,2018,Masters,Structural Engineering,Financial Engineering,Male,White
U.S. Citizen,George Mason University,Mechanical Engineering,3.61,2019,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,George Mason University,Bioengineering,3.32,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Mechanical Engineering,Male,White
U.S. Citizen,George Mason University,Computer Science,3.7,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
International,George Mason University,Systems Engineering,3.3,2019,Ph.D. with Masters,Financial Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,George Mason University,Computer Engineering,3.9,2019,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,Female,Asian
U.S. Citizen,George Mason University,Civil and Infrastructure Engineering,3.8,2017,Masters,Structural Engineering,Civil Engineering,Female,Hispanic
Permanent Resident,George Mason University,Bioengineering,4,2018,Ph.D. with Masters,Tissue Engineering,Biomedical Engineering,Male,Hispanic
U.S. Citizen,George Mason University,Computer Science,3.11,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Female,Hispanic
U.S. Citizen,George Mason University,Systems Engineering,3.6,2018,Ph.D. with Masters,Industrial/Systems Engineering,Data Analytics,Male,"Hispanic,White "
Permanent Resident,George Mason University,Computer Engineering,3.6,2018,Masters,Computer Science/Engineering,Computer Information Systems,Female,Asian
U.S. Citizen,George Mason University,Computer Science,3.75,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,George Mason University,Applied Information Technology,3.2,2017,Masters,Computer Information Systems,Cybersecurity,Male,Hispanic
Permanent Resident,George Mason University,Civil and Infrastructure Engineering,3.41,2018,Ph.D. with Masters,Environmental Engineering,Civil Engineering,Male,White
Permanent Resident,George Mason University,Computer Science,3.4,2019,Masters,Computer Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,George Mason University,Information Technology,4,2018,Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,George Mason University,Civil and Infrastructure Engineering,3.47,2019,Masters,Civil Engineering,Civil Engineering,Male,White
Permanent Resident,George Mason University,Civil and Infrastructure Engineering,3.24,2019,Masters,Structural Engineering,Civil Engineering,Female,Asian
U.S. Citizen,George Mason University,Computer Science,3.89,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,George Mason University,Electrical Engineering,3.49,2019,Ph.D. with Masters,Electrical Engineering,Electrical Engineering,Female,Black/African American
Permanent Resident,George Mason University,Computer Science,3.78,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,George Mason University,Applied Computer Science,3.07,2020,Masters,Computer Science/Engineering,Computer Information Systems,"Male,Female",White
Permanent Resident,George Mason University,Systems Engineering,3.44,2019,Masters,Systems/Signals Engineering,Automotive Engineering,Male,Asian
U.S. Citizen,George Mason University,Computer Engineering,3.97,2018,Ph.D. with Masters,Computer Science/Engineering,Electrical Engineering,Male,Asian
U.S. Citizen,George Mason University,Applied Computer Science,3.87,2020,Masters,Computer Science/Engineering,Computer Engineering,Male,White
International,Iowa State University,Electrical Engineering,3.67,2019,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,Black/African American
Permanent Resident,Iowa State University,Computer Engineering,3.54,2019,Masters,Computer Science/Engineering,Robotics Engineering,Male,Asian
U.S. Citizen,Iowa State University,Ag Engineering,3.78,2019,Masters,Agricultural Engineering,MBA,Male,White
International,Iowa State University,Computer Engineering ,3.16,2018,Masters,Computer Science/Engineering,Computational Finance,Female,Asian
U.S. Citizen,Iowa State University,Aeronautical Engineering,3.03,2019,Masters,Aerospace Engineering,,Male,"Asian,White"
Permanent Resident,Iowa State University,Civil Engineering ,3.59,2018,Masters,Structural Engineering,Geotechnical Engineering,Female,White
International,Iowa State University,Aerospace Engineering,3.4,2018,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.1,2019,Masters,Mechanical Engineering,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,4,2018,Masters,Electrical Engineering,Computer Engineering,Male,Black/African American
U.S. Citizen,Iowa State University,Chemical Engineering ,3.95,2019,Ph.D. with Masters,Chemical Engineering,Energy Engineering,Male,White
U.S. Citizen,Iowa State University,Industrial Engineering,3.45,2017,Masters,Industrial/Systems Engineering,Architectural Engineering,Female,White
U.S. Citizen,Iowa State University,Chemical Engineering ,3.04,2019,Ph.D. with Masters,Cellular Agriculture,Tissue Engineering,Female,White
U.S. Citizen,Iowa State University,Biological systems engineerings,3.19,2019,Masters,Coastal/Water Systems Engineering,Environmental Engineering,Male,White
U.S. Citizen,Iowa State University,Computer Engineering,3.67,2019,Masters,Computer Engineering,Computer Science/Engineering,Female,"Asian,White"
U.S. Citizen,Iowa State University,Mechanical Engineering,3.81,2019,Masters,MBA,,Male,White
U.S. Citizen,Iowa State University,Civil Engineering ,3.49,2018,Masters,Civil Engineering,,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering,3.89,2018,Ph.D. with Masters,Electrical Engineering,Applied Physics,Male,White
International,Iowa State University,Computer Engineering,3.82,2019,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering ,3.66,2018,Masters,Biomedical Engineering,Tissue Engineering,Female,White
U.S. Citizen,Iowa State University,Materials Engineering,3.88,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,Biomedical Engineering,Female,White
U.S. Citizen,Iowa State University,Civil  Engineering ,3.99,2018,Masters,Civil Engineering,Other (write in),Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.19,2019,Masters,Mechanical Engineering,Energy Engineering,Male,White
Permanent Resident,Iowa State University,Computer Engineering,3.83,2019,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,,White
International,Iowa State University,Mechannical Engineering,3.74,2017,Ph.D. with Masters,Mechanical Engineering,Systems/Signals Engineering,Male,Asian
U.S. Citizen,Iowa State University,Chemical Engineering,3.47,2020,Masters,Chemical Engineering,Biomedical Engineering,Male,"Black/African American,White"
U.S. Citizen,Iowa State University,Computer Science,3.4,2019,Ph.D. with Masters,Computer Science/Engineering,Mathematics,Male,"American Indian or Alaska Native,White"
U.S. Citizen,Iowa State University,Aerospace Engineering,3.45,2018,Masters,Aerospace Engineering,,Male,White
U.S. Citizen,Iowa State University,Mechanical Engineering,3.5,2019,Masters,Mechanical Engineering,Systems/Signals Engineering,Male,White
U.S. Citizen,Iowa State University,Electrical Engineering & Mathematics,4,2019,Masters,Electrical Engineering,Systems/Signals Engineering,Male,White
U.S. Citizen,Iowa State University,Construction Engineering ,3.44,2018,Masters,Mechanical Engineering,Civil Engineering,Female,White
U.S. Citizen,Iowa State University,Mechanical Engineering ,3.38,2018,Masters,Mechanical Engineering,Business,Male,White
U.S. Citizen,Iowa State University,Civil Engineering,3.95,2019,Masters,Structural Engineering,Civil Engineering,Female,White
